INFO Fit-3@16:13:00 : Ready:True 
	 Check List:
		--> Optimizer:OK
		--> Model:OK
		--> Dataset:OK
		--> Others:OK
		--> Transfer:OK
		--> Batch Iterator:OK
		--> Settings:OK
		--> Extra Parameters:OK
INFO Fit-3@16:13:30 : Dataset is ready, type: (<FedSRP dataset.>)
INFO Fit-3@16:13:30 : 
------------		Model Summary		------------
	<LSTM Layer, Units: 128>		
		Input:	[Adjust];
		Output:	[-1, 30, 128];
	<Dropout Layer, Drop probability: 0.2>		
		Input:	[Adjust];
		Output:	[Adjust];
	<Dense Layer, Units: 1>		
		Input:	[Adjust];
		Output:	[-1, 1];
	------------		Appendix		------------
	Loss:
		<Mean Square Error Loss>
	Optimizer:
		<Net package (Optimize)>
	Metrics:
		<Metric: Loss>
	------------		Appendix		------------

------------		Model Summary		------------

INFO Fit-3@16:13:30 : Model set to ready.
INFO Fit-3-Epo-2@16:39:14 : Epochs:3, Batches:8, in:16, Total:88, Loss:0.2130
INFO Fit-3-Epo-2@16:39:19 : Epochs:3, Batches:9, in:16, Total:89, Loss:0.1586
INFO Fit-3-Epo-2@16:39:24 : Epochs:3, Batches:10, in:16, Total:90, Loss:1.0015
INFO Fit-3-Epo-2@16:39:28 : Epochs:3, Batches:11, in:16, Total:91, Loss:0.3904
INFO Fit-3-Epo-2@16:39:31 : Epochs:3, Batches:12, in:16, Total:92, Loss:0.1076
INFO Fit-3-Epo-2@16:39:34 : Epochs:3, Batches:13, in:16, Total:93, Loss:0.2351
INFO Fit-3-Epo-2@16:39:37 : Epochs:3, Batches:14, in:16, Total:94, Loss:0.4232
INFO Fit-3-Epo-2@16:39:40 : Epochs:3, Batches:15, in:16, Total:95, Loss:0.0914
INFO Fit-3-Epo-2@16:39:42 : Epochs:3, Batches:16, in:16, Total:96, Loss:0.5219
INFO Fit-3-Epo-2@16:41:01 : Evaluate result: {'Loss': 4.200053093458733}
INFO Fit-3-Epo-3@16:46:37 : Epochs:1, Batches:1, in:16, Total:97, Loss:0.3052
INFO Fit-3-Epo-3@16:46:42 : Epochs:1, Batches:2, in:16, Total:98, Loss:0.1649
INFO Fit-3-Epo-3@16:46:47 : Epochs:1, Batches:3, in:16, Total:99, Loss:0.1070
INFO Fit-3-Epo-3@16:46:51 : Epochs:1, Batches:4, in:16, Total:100, Loss:0.0883
INFO Fit-3-Epo-3@16:46:56 : Epochs:1, Batches:5, in:16, Total:101, Loss:0.2326
